Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
1.8160902, 2060-2079, bcc_csm1_1, Jan Anomaly, France, FRA
1.8451438, 2060-2079, bcc_csm1_1, Feb Anomaly, France, FRA
2.263619, 2060-2079, bcc_csm1_1, Mar Anomaly, France, FRA
2.3821154, 2060-2079, bcc_csm1_1, Apr Anomaly, France, FRA
2.6054347, 2060-2079, bcc_csm1_1, May Anomaly, France, FRA
3.902406, 2060-2079, bcc_csm1_1, Jun Anomaly, France, FRA
4.4948096, 2060-2079, bcc_csm1_1, Jul Anomaly, France, FRA
4.5246634, 2060-2079, bcc_csm1_1, Aug Anomaly, France, FRA
2.9569378, 2060-2079, bcc_csm1_1, Sep Anomaly, France, FRA
3.2753487, 2060-2079, bcc_csm1_1, Oct Anomaly, France, FRA
2.792595, 2060-2079, bcc_csm1_1, Nov Anomaly, France, FRA
2.0085998, 2060-2079, bcc_csm1_1, Dec Anomaly, France, FRA
2.0628862, 2060-2079, bcc_csm1_1_m, Jan Anomaly, France, FRA
1.6243027, 2060-2079, bcc_csm1_1_m, Feb Anomaly, France, FRA
1.9564346, 2060-2079, bcc_csm1_1_m, Mar Anomaly, France, FRA
1.941422, 2060-2079, bcc_csm1_1_m, Apr Anomaly, France, FRA
2.6729748, 2060-2079, bcc_csm1_1_m, May Anomaly, France, FRA
3.9028332, 2060-2079, bcc_csm1_1_m, Jun Anomaly, France, FRA
3.8827865, 2060-2079, bcc_csm1_1_m, Jul Anomaly, France, FRA
4.0153394, 2060-2079, bcc_csm1_1_m, Aug Anomaly, France, FRA
4.155031, 2060-2079, bcc_csm1_1_m, Sep Anomaly, France, FRA
2.7610698, 2060-2079, bcc_csm1_1_m, Oct Anomaly, France, FRA
2.5515604, 2060-2079, bcc_csm1_1_m, Nov Anomaly, France, FRA
1.9655504, 2060-2079, bcc_csm1_1_m, Dec Anomaly, France, FRA
2.0639453, 2060-2079, ccsm4, Jan Anomaly, France, FRA
2.478575, 2060-2079, ccsm4, Feb Anomaly, France, FRA
2.5646544, 2060-2079, ccsm4, Mar Anomaly, France, FRA
2.7019591, 2060-2079, ccsm4, Apr Anomaly, France, FRA
3.6350708, 2060-2079, ccsm4, May Anomaly, France, FRA
4.037401, 2060-2079, ccsm4, Jun Anomaly, France, FRA
3.5281966, 2060-2079, ccsm4, Jul Anomaly, France, FRA
4.433102, 2060-2079, ccsm4, Aug Anomaly, France, FRA
3.5677395, 2060-2079, ccsm4, Sep Anomaly, France, FRA
2.368132, 2060-2079, ccsm4, Oct Anomaly, France, FRA
2.2666562, 2060-2079, ccsm4, Nov Anomaly, France, FRA
2.0588455, 2060-2079, ccsm4, Dec Anomaly, France, FRA
3.1702662, 2060-2079, cesm1_cam5, Jan Anomaly, France, FRA
3.0944026, 2060-2079, cesm1_cam5, Feb Anomaly, France, FRA
3.1362393, 2060-2079, cesm1_cam5, Mar Anomaly, France, FRA
3.0055435, 2060-2079, cesm1_cam5, Apr Anomaly, France, FRA
3.763333, 2060-2079, cesm1_cam5, May Anomaly, France, FRA
4.5933166, 2060-2079, cesm1_cam5, Jun Anomaly, France, FRA
4.6673145, 2060-2079, cesm1_cam5, Jul Anomaly, France, FRA
4.888361, 2060-2079, cesm1_cam5, Aug Anomaly, France, FRA
4.780006, 2060-2079, cesm1_cam5, Sep Anomaly, France, FRA
3.5398533, 2060-2079, cesm1_cam5, Oct Anomaly, France, FRA
2.7560327, 2060-2079, cesm1_cam5, Nov Anomaly, France, FRA
3.5460901, 2060-2079, cesm1_cam5, Dec Anomaly, France, FRA
1.6009963, 2060-2079, csiro_mk3_6_0, Jan Anomaly, France, FRA
0.9852604, 2060-2079, csiro_mk3_6_0, Feb Anomaly, France, FRA
